cities,country,date,lat,lng,temp_max,humid,wind,cloud
hilo,US,1539978960,19.71,-155.08,80.6,74,4.07,75
lorengau,PG,1539980954,-2.02,147.27,78.75,100,7.2,92
saleaula,,,,,,,,
iskateley,RU,1539980955,67.68,53.15,25.78,96,10.78,0
vaini,IN,1539980956,15.34,74.49,66.33,90,2.62,12
monte patria,CL,1539980958,-30.69,-70.96,57.73,73,2.17,0
taoudenni,ML,1539980959,22.68,-3.98,71.46,33,5.19,24
port blair,IN,1539980960,11.67,92.75,81.58,100,6.53,92
qaanaaq,GL,1539980960,77.48,-69.36,8.73,100,12.24,12
urfa,,,,,,,,
puerto ayora,EC,1539979200,-0.74,-90.35,80.6,57,12.75,40
touros,BR,1539980945,-5.2,-35.46,79.06,81,14.47,8
asfi,,,,,,,,
saint george,GR,1539978600,39.45,22.34,59,87,4.7,20
axim,GH,1539980965,4.87,-2.24,80.1,100,9.22,8
east london,ZA,1539980966,-33.02,27.91,64.89,100,21.07,92
aripuana,BR,1539980967,-9.17,-60.63,86.98,72,1.05,20
joshimath,IN,1539980968,30.57,79.57,6.34,86,0.38,0
jamestown,AU,1539980697,-33.21,138.6,49.41,90,9.44,88
nuqui,CO,1539980970,5.71,-77.27,78.48,100,6.08,92
lillesand,NO,1539978600,58.25,8.38,48.2,87,2.24,40
mahebourg,MU,1539979200,-20.41,57.7,71.6,88,5.82,40
wareham,GB,1539978600,50.69,-2.11,53.6,93,1.12,0
uige,AO,1539980974,-7.61,15.06,67.36,96,2.17,80
cape town,ZA,1539979200,-33.93,18.42,60.8,63,26.4,0
salalah,OM,1539978600,17.01,54.1,75.2,88,3.36,0
tesistan,MX,1539978300,20.78,-103.48,77,47,6.93,75
samusu,,,,,,,,
camocim,BR,1539980978,-2.9,-40.84,84.87,50,16.82,0
soverato,IT,1539978600,38.69,16.55,68,72,11.41,20
byron bay,AU,1539979200,-28.65,153.62,64.4,93,3.51,75
talnakh,RU,1539980981,69.49,88.39,26.59,98,3.06,92
taolanaro,,,,,,,,
albany,US,1539978840,42.65,-73.75,60.8,38,14.99,20
avera,US,1539979740,33.19,-82.53,73.4,68,3.36,90
mattru,SL,1539980984,7.62,-11.83,76.99,91,2.73,56
boa viagem,BR,1539980985,-5.13,-39.73,86.08,30,7.99,0
harer,US,1539980987,42.19,-111.17,56.11,39,3.74,0
mandurah,AU,1539979200,-32.55,115.7,51.8,87,6.93,40
bluff,AU,1539980988,-23.58,149.07,67.59,89,5.75,8
mbekenyera,TZ,1539980989,-10,38.98,72.09,86,3.74,32
olafsvik,,,,,,,,
ilinskiy,RU,1539977400,55.62,38.12,53.6,76,8.95,75
calama,CL,1539979200,-22.46,-68.93,77,5,31.09,0
gilgit,PK,1539980993,35.92,74.31,19.21,92,0.6,0
sorland,NO,1539978600,67.67,12.69,44.6,100,4.7,75
hualmay,PE,1539980995,-11.1,-77.61,68.13,68,5.41,20
thompson,CA,1539979200,55.74,-97.86,26.6,53,18.34,75
richards bay,ZA,1539980997,-28.77,32.06,68.04,85,12.8,88
hermanus,ZA,1539980998,-34.42,19.24,56.25,75,9.44,44
mooi river,,,,,,,,
torbay,CA,1539979200,47.66,-52.73,39.2,86,5.82,75
belmonte,PT,1539981000,40.36,-7.35,60.61,73,8.99,36
avarua,CK,1539979200,-21.21,-159.78,75.2,53,17.22,75
ningan,,,,,,,,
kirensk,RU,1539981003,57.78,108.12,23.94,89,4.74,32
marcona,,,,,,,,
san cristobal,EC,1539979200,-0.39,-78.55,62.6,48,10.29,90
longyearbyen,NO,1539978600,78.22,15.63,19.4,92,3.36,20
hobart,AU,1539979200,-42.88,147.33,62.6,63,6.93,75
altamira,BR,1539981008,-3.2,-52.21,87.21,67,3.51,0
warrington,GB,1539978600,53.39,-2.59,55.4,87,4.7,20
beaupre,CA,1539979200,47.04,-70.9,41,75,4.7,75
geraldton,CA,1539979200,49.72,-86.95,44.6,93,4.7,90
pevek,RU,1539981013,69.7,170.27,18.94,100,6.08,36
tabiauea,,,,,,,,
kapaa,US,1539978960,22.08,-159.32,82.4,69,6.93,75
katsuura,JP,1539981015,33.93,134.5,58.95,100,9.66,88
alice springs,AU,1539979200,-23.7,133.88,69.8,37,12.75,0
mar del plata,AR,1539981017,-46.43,-67.52,54.49,54,14.25,8
plastun,RU,1539980724,44.76,136.29,35.82,68,4.07,32
noumea,NC,1539979200,-22.28,166.46,73.4,83,4.52,0
mingshui,CN,1539981020,22.81,109.89,67.68,98,4.63,80
calvinia,ZA,1539981021,-31.47,19.78,61.74,22,14.7,0
saint-leu,RE,1539979200,-21.15,55.28,73.4,78,6.93,90
camacupa,AO,1539981023,-12.02,17.48,63.27,87,3.51,24
jorpeland,NO,1539978600,59.02,6.04,50,87,5.82,75
belushya guba,,,,,,,,
cherskiy,RU,1539981026,68.75,161.3,5.31,84,5.75,56
caravelas,BR,1539981027,-17.73,-39.27,79.02,98,21.52,20
pokhara,NP,1539981028,28.21,83.99,46.93,73,2.17,0
clyde river,CA,1539979200,70.47,-68.59,12.2,66,9.17,75
santa cruz,US,1539978960,36.97,-122.03,80.6,34,4.7,1
saint-paul,FR,1539979200,45.22,1.9,55.4,87,3.36,0
lata,IN,1539981033,30.78,78.62,39.33,68,2.95,0
tessalit,ML,1539981034,20.2,1.01,78.12,29,4.18,20
port moresby,PG,1539981035,-9.47,147.16,79.2,98,16.04,36
bo,,,,,,,,
constitucion,MX,1539978060,23.99,-104.67,69.8,52,5.82,90
provideniya,RU,1539981038,64.42,-173.23,36.36,100,13.58,36
umzimvubu,,,,,,,,
northam,GB,1539978600,51.04,-4.21,53.6,93,3.36,75
shaunavon,CA,1539981040,49.65,-108.41,51.34,51,13.24,32
cap malheureux,MU,1539979200,-19.98,57.61,71.6,88,5.82,40
attawapiskat,,,,,,,,
baracoa,CU,1539981043,20.35,-74.5,81.49,99,15.26,88
mitsamiouli,KM,1539979200,-11.38,43.28,77,73,3.36,20
saskylakh,RU,1539981045,71.97,114.09,17.86,86,11.68,80
tiksi,RU,1539981046,71.64,128.87,12.24,79,14.25,8
kodiak,US,1539978780,39.95,-94.76,66.2,63,12.75,75
pacific grove,US,1539978900,36.62,-121.92,80.6,63,6.93,1
togur,RU,1539981049,58.36,82.83,22.68,83,3.4,24
presidencia roque saenz pena,AR,1539981050,-26.79,-60.44,82.39,55,17.72,92
louisbourg,,,,,,,,
dunedin,NZ,1539980895,-45.87,170.5,54.18,75,1.61,20
mansa,IN,1539979200,23.43,72.66,78.8,69,2.51,32
porto novo,BR,1539979200,-23.68,-45.44,69.8,83,5.82,75
puerto escondido,MX,1539978060,15.86,-97.07,84.2,70,9.17,75
borba,PT,1539975600,38.81,-7.46,62.6,93,2.24,40
leningradskiy,RU,1539981056,69.38,178.42,25.06,100,7.99,0
teya,MX,1539978540,21.05,-89.07,93.2,52,11.41,75
flinders,AU,1539975600,-34.58,150.85,60.8,100,4.7,32
alofi,NU,1539979200,-19.06,-169.92,75.2,64,20.8,75
tadepallegudem,IN,1539981061,16.82,81.53,69.66,86,2.62,12
sabang,PH,1539981062,13.72,123.58,81.27,87,8.66,92
langsa,ID,1539981063,4.47,97.97,69.03,100,2.06,92
ilebo,CD,1539981064,-4.33,20.59,74.97,89,2.62,8
hithadhoo,MV,1539981065,-0.6,73.08,82.44,100,6.08,88
gigmoto,PH,1539981066,13.78,124.39,81.58,100,11.45,68
lebu,ET,1539981067,8.96,38.73,43.02,88,2.62,24
chiang kham,TH,1539979200,19.53,100.3,73.4,100,5.82,0
ust-nera,RU,1539981069,64.57,143.24,-4.6,95,1.39,48
buqayq,,,,,,,,
dutlwe,BW,1539981070,-23.98,23.93,72.27,37,11.56,0
vaitupu,,,,,,,,
ikom,NG,1539981071,5.96,8.72,74.56,89,3.18,12
sentyabrskiy,,,,,,,,
airai,TL,1539981072,-8.93,125.41,60.79,86,1.5,0
puerto leguizamo,CO,1539981073,-0.19,-74.78,91.66,52,1.5,8
ancud,CL,1539981074,-41.87,-73.83,57.73,74,0.6,92
vardo,US,1539979200,39.62,-77.74,64.4,36,11.41,1
eyl,SO,1539981076,7.98,49.82,75.46,100,4.41,32
jibuti,,,,,,,,
carballo,ES,1539979200,43.21,-8.69,62.6,82,6.93,0
yellowknife,CA,1539979200,62.45,-114.38,26.6,63,6.93,75
sitka,US,1539981079,37.17,-99.65,70.29,55,9.66,0
baykit,RU,1539981080,61.68,96.39,25.33,83,4.07,48
tasiilaq,GL,1539978600,65.61,-37.64,32,100,2.24,92
qaqortoq,GL,1539978600,60.72,-46.03,30.2,74,3.36,75
rungata,,,,,,,,
changli,CN,1539981083,30.54,105.42,56.16,100,4.63,100
takoradi,GH,1539981084,4.89,-1.75,79.06,100,6.42,12
obo,CF,1539981085,5.39,26.49,69.61,89,5.08,88
karratha,AU,1539981086,-20.74,116.85,56.25,87,2.06,0
vao,EE,1539981087,59.1,26.19,44.23,86,5.64,80
srednekolymsk,RU,1539981088,67.46,153.71,10.39,80,3.06,76
saint-augustin,FR,1539979200,44.83,-0.61,60.8,82,9.17,0
grand gaube,MU,1539979200,-20.01,57.66,71.6,88,5.82,40
kamaishi,JP,1539981091,39.28,141.86,49.18,88,1.5,80
bambanglipuro,ID,1539981092,-7.95,110.28,63.9,99,2.06,68
nuuk,GL,1539978600,64.17,-51.74,23,41,24.16,20
port alfred,ZA,1539981094,-33.59,26.89,63.36,91,14.14,88
tianpeng,CN,1539981095,28.88,112.34,57.24,100,10.67,92
chumikan,RU,1539981096,54.72,135.31,31.32,100,7.76,0
hua hin,TH,1539981097,12.57,99.96,79.29,100,4.07,76
turka,UA,1539981098,49.16,23.03,47.29,89,3.96,44
matagami,NG,1539980812,9.67,8.4,65.25,58,4.74,0
muisne,EC,1539981100,0.61,-80.02,79.65,67,7.76,100
laguna,MX,1539978120,27.52,-110.01,89.6,40,4.63,5
carnarvon,ZA,1539981002,-30.97,22.13,52.92,35,19.17,8
alyangula,AU,1539981103,-13.85,136.42,80.14,100,6.53,0
high level,CA,1539979200,58.52,-117.13,35.6,74,6.93,75
soe,EE,1539978600,57.91,26.05,39.2,93,5.82,0
xining,CN,1539981106,36.62,101.77,30.87,100,2.51,88
victoria,BN,1539979200,5.28,115.24,75.2,94,4.7,75
gazanjyk,TM,1539981108,39.24,55.52,40.36,90,3.06,0
omboue,GA,1539981109,-1.57,9.26,78.88,100,7.54,92
lompoc,US,1539978960,34.64,-120.46,89.6,44,17.22,1
upernavik,GL,1539981111,72.79,-56.15,22.41,100,8.1,24
berlevag,NO,1539978600,70.86,29.09,42.8,93,14.99,75
illoqqortoormiut,,,,,,,,
fukue,JP,1539977400,35.03,136.69,59,87,11.41,40
hof,DE,1539978960,50.32,11.92,41,100,4.52,1
goure,NE,1539980999,13.98,10.27,76.59,22,8.1,0
khatanga,RU,1539981116,71.98,102.47,4.95,60,3.06,32
yuzhno-yeniseyskiy,,,,,,,,
codrington,AU,1539981117,-28.95,153.24,63.54,92,3.51,48
puri,ID,1539979200,-7.54,112.45,77,78,2.24,20
nizhniy kuranakh,RU,1539981119,58.84,125.49,27.72,78,4.63,80
esperance,TT,1539979200,10.24,-61.45,73.4,100,5.19,40
mackay,CA,1539979200,53.65,-115.58,51.8,43,2.24,20
thessalon,CA,1539980220,46.26,-83.55,51.8,87,9.17,90
tura,IN,1539981123,25.52,90.21,68.98,95,3.4,24
vila franca do campo,PT,1539979200,37.72,-25.43,64.4,77,4.7,20
kochi,IN,1539979200,9.96,76.25,77,94,4.07,75
mount gambier,AU,1539981126,-37.83,140.78,53.91,73,6.98,88
ngaoundere,CM,1539981127,7.32,13.58,65.97,58,6.08,0
saint anthony,US,1539978960,43.97,-111.68,59,33,4.7,1
dakar,SN,1539979200,14.69,-17.45,80.6,88,6.93,64
half moon bay,US,1539978960,37.46,-122.43,80.6,72,6.93,1
ust-koksa,RU,1539981131,50.27,85.62,18.81,80,2.39,32
barra do garcas,BR,1539975600,-15.89,-52.26,86,66,2.24,20
vostok,RU,1539981133,46.45,135.83,19.98,71,2.17,24
hulan ergi,CN,1539981134,47.2,123.63,32.4,81,2.95,0
naruja,GE,1539979200,41.91,41.96,64.4,82,11.41,40
barentsburg,,,,,,,,
champerico,MX,1539978060,16.38,-93.6,86,62,3.36,75
norman wells,CA,1539979200,65.28,-126.83,33.8,86,18.34,75
fairbanks,US,1539979080,64.84,-147.72,41,69,6.93,90
vestmanna,FO,1539978600,62.16,-7.17,46.4,75,11.41,76
hasaki,JP,1539977400,35.73,140.83,59,87,9.17,75
saldanha,PT,1539981141,41.42,-6.55,62.23,67,14.03,0
ahipara,NZ,1539981142,-35.17,173.16,61.83,84,5.75,88
ust-kamchatsk,,,,,,,,
erenhot,CN,1539981143,43.65,111.97,36.09,86,8.66,24
kaitangata,NZ,1539981144,-46.28,169.85,55.03,68,5.97,92
quelimane,MZ,1539981145,-17.88,36.89,76.77,84,8.55,92
galgani,,,,,,,,
yulara,AU,1539979200,-25.24,130.99,62.6,48,11.41,0
vestmannaeyjar,IS,1539981147,63.44,-20.27,43.24,100,17.05,92
santa isabel,CO,1539979200,4.71,-75.1,82.4,65,6.93,75
pangnirtung,CA,1539981149,66.15,-65.72,19.03,100,8.21,56
lagoa,PT,1539979200,37.14,-8.45,62.6,72,9.17,0
warqla,,,,,,,,
tsumeb,NA,1539981151,-19.25,17.72,72.58,25,8.1,0
onverwacht,SR,1539979200,5.59,-55.2,93.2,44,4.7,40
grand river south east,,,,,,,,
cockburn town,TC,1539981153,21.46,-71.14,83.29,96,19.17,8
sangar,RU,1539981154,63.92,127.47,19.8,79,2.51,76
balgazyn,RU,1539981155,51,95.2,33.16,99,2.51,92
pombas,BR,1539981156,-15.9,-54.74,87.39,64,9.44,32
barrow,AR,1539981157,-38.31,-60.23,58.77,54,14.47,0
tsihombe,,,,,,,,
sabzevar,IR,1539981158,36.21,57.68,32.85,70,2.39,0
ilulissat,GL,1539978600,69.22,-51.1,15.8,47,9.17,0
borogontsy,RU,1539981161,62.67,131.17,22.63,93,2.62,88
sur,OM,1539981162,22.57,59.53,81.45,94,3.18,0
ballina,IE,1539981163,54.11,-9.15,54.63,97,11.79,92
luderitz,NA,1539979200,-26.65,15.16,66.2,55,17.22,0
kudahuvadhoo,MV,1539981165,2.67,72.89,82.98,100,3.18,76
ulladulla,AU,1539975600,-35.36,150.48,60.8,100,4.7,20
turbat,PK,1539981167,26,63.05,68.58,42,2.39,24
los llanos de aridane,ES,1539979200,28.66,-17.92,69.8,77,16.11,75
kavaratti,IN,1539981169,10.57,72.64,83.25,100,2.06,0
quatre cocos,MU,1539979200,-20.21,57.76,71.6,88,5.82,40
nizhneyansk,,,,,,,,
ribeira grande,PT,1539979200,38.52,-28.7,69.8,77,9.17,75
bredasdorp,ZA,1539979200,-34.53,20.04,57.2,71,5.82,20
marsabit,KE,1539981173,2.34,37.99,68.71,90,1.95,0
leh,IN,1539981174,34.16,77.58,-1.22,68,0.94,24
zhezkazgan,KZ,1539981175,47.8,67.71,34.96,80,11.56,48
severo-kurilsk,RU,1539981177,50.68,156.12,43.24,93,13.24,56
inhambane,MZ,1539981179,-23.87,35.38,66.96,100,8.1,0
mwinilunga,ZM,1539981180,-11.73,24.43,65.16,93,2.51,32
dikson,RU,1539981181,73.51,80.55,31.77,100,12.12,80
ponta do sol,BR,1539981182,-20.63,-46,71.19,93,7.09,68
skalistyy,,,,,,,,
vaitape,PF,1539981183,-16.52,-151.75,80.82,96,7.76,68
buon me thuot,,,,,,,,
narsaq,GL,1539978600,60.91,-46.05,30.2,74,3.36,75
krasnohrad,UA,1539981186,49.38,35.45,46.48,81,3.18,20
rakiv lis,UA,1539981187,51.62,24.92,48.01,92,7.54,8
deputatskiy,RU,1539981188,69.3,139.9,0.9,58,5.08,32
trelew,AR,1539981099,-43.25,-65.31,55.98,45,13.24,80
egvekinot,RU,1539981191,66.32,-179.17,6.43,76,2.95,0
huarmey,PE,1539981192,-10.07,-78.15,70.2,60,3.74,0
baruun-urt,MN,1539981193,46.68,113.28,26.14,67,5.75,20
abu samrah,SY,1539981194,35.3,37.18,62.01,85,6.53,68
ilhabela,BR,1539981196,-23.78,-45.36,71.55,100,17.05,92
ormara,PK,1539981197,25.21,64.64,78.21,83,8.99,12
sacama,EC,1539981198,-3.9,-79.27,63.04,94,2.06,44
waipawa,NZ,1539981199,-39.94,176.59,64.35,48,20.29,0
faanui,PF,1539981200,-16.48,-151.75,81.31,97,8.55,68
carai,BR,1539981201,-17.19,-41.69,79.65,73,4.18,76
fallon,US,1539978960,46.84,-105.12,59,26,14.99,1
copiapo,CL,1539979200,-27.37,-70.33,64.4,59,14.99,0
seoul,KR,1539979200,37.57,126.98,48.2,87,3.36,0
magistralnyy,RU,1539981206,56.17,107.45,23.4,83,2.95,64
sumbawa,,,,,,,,
kruisfontein,ZA,1539981208,-34,24.73,58.63,100,9.44,92
tourlaville,FR,1539980400,49.64,-1.57,55.4,81,3.36,0
gloucester,GB,1539978600,51.87,-2.25,51.8,93,2.24,40
souillac,FR,1539979200,45.6,-0.6,60.8,77,6.93,0
makakilo city,US,1539979020,21.35,-158.09,82.4,65,9.17,1
mbandaka,CD,1539981213,0.05,18.26,74.52,92,1.72,20
carsamba,TR,1539978600,41.2,36.72,66.2,88,2.24,75
bilibino,RU,1539981215,68.06,166.44,7.47,80,2.39,76
poum,MK,1539981216,41.28,20.71,48.46,98,0.6,36
vilyuysk,RU,1539981217,63.75,121.63,26.46,80,4.18,76
husavik,CA,1539981218,50.56,-96.99,46.17,73,22.3,48
urdoma,RU,1539981220,61.74,48.55,39.69,79,8.43,64
launceston,AU,1539979200,-41.43,147.14,55.4,93,12.75,90
labuhan,ID,1539981222,-2.54,115.51,69.66,96,2.06,24
springdale,US,1539979080,36.19,-94.13,53.6,100,6.93,90
bambous virieux,MU,1539979200,-20.34,57.76,71.6,88,5.82,40
a,,,,,,,,
yunyang,CN,1539981225,32.84,110.81,48.64,86,1.39,92
usinsk,RU,1539981226,66,57.56,26.55,92,10.22,76
halifax,CA,1539979200,44.65,-63.58,42.8,45,8.05,40
bengkulu,,,,,,,,
aykhal,RU,1539981229,65.95,111.51,21.33,86,5.75,56
hay river,CA,1539979200,60.82,-115.79,32,71,8.05,75
nabire,ID,1539981231,-3.36,135.5,67.99,94,1.95,68
tigil,RU,1539981232,57.8,158.67,32.4,91,2.95,92
seddon,NZ,1539981177,-41.67,174.07,61.96,72,7.2,8
beidao,CN,1539981234,34.57,105.89,43.11,89,2.39,92
port hardy,CA,1539979200,50.7,-127.42,53.6,81,5.82,20
polson,US,1539981014,47.69,-114.16,56.34,56,2.73,0
sao joao da barra,BR,1539979200,-21.64,-41.05,77,78,17.22,90
swan hill,AU,1539981238,-35.34,143.56,54.54,82,14.47,92
maunabo,PR,1539978960,18.01,-65.9,86,74,13.87,40
eldikan,,,,,,,,
pachino,IT,1539978600,36.72,15.09,68,72,3.36,20
meulaboh,ID,1539981242,4.14,96.13,75.96,100,0.49,36
guozhen,CN,1539981243,29.3,113.14,56.97,98,4.63,92
arraial do cabo,BR,1539979200,-22.97,-42.02,75.2,88,18.34,75
peringat,MY,1539979200,5.99,102.3,75.2,88,4.07,40
katha,,,,,,,,
saint-joseph,FR,1539979200,43.56,6.97,66.2,82,3.36,0
villarrica,CL,1539981248,-39.28,-72.23,56.38,73,3.18,88
boysun,UZ,1539981250,38.2,67.2,12.64,73,1.16,0
sidi ali,DZ,1539981251,36.1,0.42,55.8,93,1.5,44
mount isa,AU,1539979200,-20.73,139.49,57.2,58,5.64,0
beringovskiy,RU,1539981254,63.05,179.32,32.44,100,12.8,88
hofn,IS,1539975600,64.25,-15.21,42.8,81,23.04,75
nanortalik,GL,1539981260,60.14,-45.24,31.86,99,13.24,44
abu dhabi,AE,1539979200,24.47,54.37,84.2,66,3.36,0
jilib,SO,1539981262,0.49,42.79,72.72,93,5.19,0
sembakung,ID,1539981263,3.82,117.25,71.91,100,3.06,48
bilma,NE,1539981264,18.69,12.92,71.23,23,3.18,0
pemberton,AU,1539981266,-34.44,116.03,55.89,81,11.79,76
bar harbor,US,1539978960,44.39,-68.2,51.8,70,18.34,1
cagmanaba,PH,1539981269,13.06,123.3,82.48,100,12.24,20
san patricio,PY,1539981271,-26.98,-56.83,77.58,75,7.43,92
kazalinsk,,,,,,,,
ghanzi,BW,1539981273,-21.7,21.65,72.13,30,11.01,0
jumla,NP,1539981274,29.28,82.18,27.72,79,1.61,0
acarau,,,,,,,,
satitoa,,,,,,,,
chuy,UY,1539981276,-33.69,-53.46,61.74,81,16.04,0
kyren,RU,1539981277,51.68,102.13,16.83,76,1.39,20
sept-iles,CA,1539979200,50.2,-66.38,32,62,9.17,75
hastings,NZ,1539981093,-39.64,176.84,61.69,81,4.41,0
kendari,ID,1539981281,-3.99,122.52,72.45,99,0.94,76
rantauprapat,ID,1539981282,2.1,99.83,69.79,93,2.39,24
sao filipe,CV,1539981283,14.9,-24.5,79.69,95,14.25,76
marica,BR,1539979200,-22.92,-42.82,77,92,11.41,90
kristiinankaupunki,,,,,,,,
vizinga,RU,1539981286,61.08,50.08,40.68,78,9.1,80
oussouye,SN,1539979200,12.49,-16.54,86,83,4.7,40
estelle,US,1539979200,32.87,-97.01,60.8,93,4.7,90
iqaluit,CA,1539979200,63.75,-68.52,15.8,66,6.93,20
corinto,BR,1539981290,-18.36,-44.46,82.17,56,3.06,8
nam tha,,,,,,,,
el faiyum,,,,,,,,
laje,BR,1539981291,-13.18,-39.42,84.15,49,7.54,8
khuzdar,PK,1539981292,27.8,66.62,49.05,45,4.63,0
bethel,US,1539978780,60.79,-161.76,37.4,93,6.93,1
straumen,NO,1539978600,63.87,11.3,44.6,87,3.36,0
san quintin,PH,1539981296,17.54,120.52,69.3,84,3.18,0
asau,,,,,,,,
tela,HN,1539979200,15.78,-87.45,89.6,74,6.93,75
abashiri,JP,1539981299,44.01,144.25,28.03,71,3.18,0
russell,AR,1539979200,-33.01,-68.8,64.4,68,5.82,90
harper,US,1539980100,30.3,-99.24,62.6,87,4.7,90
dingle,PH,1539981302,11,122.67,73.66,98,5.97,80
fortuna,ES,1539979200,38.18,-1.13,66.2,68,4.7,20
lakhimpur,IN,1539981304,27.24,94.1,64.98,91,1.95,0
kyzyl-suu,KG,1539981305,42.34,78,31.95,100,3.4,80
charters towers,AU,1539981306,-20.07,146.27,70.24,89,5.19,92
koslan,RU,1539981307,63.46,48.9,35.46,100,4.97,92
margate,AU,1539979200,-43.03,147.26,62.6,63,6.93,75
ust-kuyga,RU,1539981309,70,135.55,10.89,90,4.63,56
isangel,VU,1539981310,-19.55,169.27,76.81,97,18.72,88
ordzhonikidze,UA,1539981311,44.96,35.36,58.18,99,4.07,0
rafaela,AR,1539981312,-31.25,-61.49,79.47,44,13.8,8
chingirlau,KZ,1539981313,51.09,54.08,43.11,50,11.12,0
kavieng,PG,1539981314,-2.57,150.8,78.43,100,0.94,64
hun,BE,1539980400,50.34,4.87,53.6,93,4.7,0
sarankhola,BD,1539981316,22.31,89.79,77.22,92,5.19,0
mortka,RU,1539981317,59.33,66.02,31.68,99,7.2,92
gberia fotombu,SL,1539981318,9.88,-11.17,75.15,89,5.97,24
canon city,US,1539981319,39.46,-117.13,62.82,17,3.62,0
abiy adi,,,,,,,,
porto walter,BR,1539981321,-8.27,-72.74,86.31,79,2.06,20
todos santos,MX,1539978000,23.45,-110.23,84.2,65,8.05,20
banamba,ML,1539981323,13.55,-7.45,81.72,61,6.08,0
castro,CL,1539981324,-42.48,-73.76,57.96,68,2.06,88
havoysund,NO,1539978600,71,24.66,41,93,5.82,75
chagda,,,,,,,,
palembang,ID,1539981315,-2.99,104.76,72.58,97,3.18,0
darnah,LY,1539981327,32.77,22.64,76.77,94,17.27,0
cayenne,GF,1539979200,4.94,-52.33,86,70,9.17,20
ganzhou,CN,1539981329,25.86,114.93,60.3,98,2.62,88
winder,US,1539978960,33.99,-83.72,69.8,45,3.36,90
pontianak,ID,1539981331,-0.02,109.34,75.01,100,4.18,0
tuatapere,NZ,1539981332,-46.13,167.69,57.24,78,18.61,0
hambantota,LK,1539981333,6.12,81.12,78.88,100,3.74,0
carroll,AU,1539979200,-30.99,150.44,60.8,87,3.36,88
sao miguel,BR,1539981334,4.52,-61.01,77.44,73,3.74,88
elat,CM,1539981335,2.91,11.16,70.38,97,2.17,56
hamilton,BM,1539978900,32.3,-64.78,68,68,12.75,75
kenora,CA,1539980100,49.76,-94.48,44.6,75,14.99,75
inderborskiy,,,,,,,,
galiwinku,,,,,,,,
nalut,LY,1539981339,31.86,10.98,61.69,64,6.2,0
teul,,,,,,,,
broken hill,AU,1539981340,-31.97,141.45,55.21,87,19.62,100
hlotse,,,,,,,,
okha,RU,1539981341,53.59,142.95,36.18,88,11.79,80
malmesbury,GB,1539980400,51.58,-2.1,51.8,100,4.7,0
lesnoy,RU,1539981343,59.78,52.13,41.49,79,10,80
kadykchan,,,,,,,,
bela,PK,1539981344,26.23,66.31,61.29,42,4.41,0
praia da vitoria,PT,1539979200,38.73,-27.07,66.2,77,7.54,20
boa vista,BR,1539979200,2.82,-60.67,89.6,46,4.7,75
mehamn,NO,1539978600,71.03,27.85,42.8,87,11.41,75
huangcun,CN,1539981349,23.83,115.22,64.44,98,2.51,44
juneau,US,1539978960,58.3,-134.42,51.8,87,17.22,90
chapais,CA,1539979200,49.78,-74.86,37.4,93,10.29,90
huaicheng,CN,1539981351,23.91,112.19,65.11,100,2.62,92
marabba,SD,1539981352,12.35,32.18,82.26,56,14.58,56
la mana,EC,1539979200,-0.93,-79.22,62.6,48,10.29,90
sataua,,,,,,,,
mgandu,TZ,1539981354,-5.96,34.11,66.6,76,3.74,64
tual,ID,1539981355,-5.67,132.75,81.18,100,7.65,0
